id,repo,true_labels,pred_labels,correct
2892339,rust,,enhancement|feature-request,False
3675895,rust,,feature-request,False
4119425,rust,,bug|feature-request,False
19036506,rust,,bug|feature-request,False
19720967,rust,,feature-request,False
21631798,rust,,feature-request,False
26575524,rust,,feature-request,False
26622032,rust,,feature-request,False
29009870,neovim,documentation|enhancement,enhancement,False
29015891,neovim,enhancement,,False
31727050,neovim,enhancement,feature-request,False
32078016,rust,,feature-request|kind/feature|lifecycle/frozen,False
32218612,neovim,enhancement|performance,enhancement|feature-request,False
32447498,neovim,performance,,False
32578298,neovim,enhancement,enhancement|feature-request,False
33034271,neovim,enhancement,feature-request,False
33217916,rust,,bug,False
34424108,rust,,bug|feature-request,False
34602736,rust,,feature-request,False
34971722,neovim,documentation,enhancement|feature-request,False
36607716,neovim,,help wanted|performance|proposal,False
37903583,TypeScript,,enhancement|feature-request,False
37933340,rust,,feature-request,False
38009283,rust,,bug,False
38255846,rust,,bug,False
38467435,TypeScript,,feature-request,False
38594578,TypeScript,bug|help wanted,,False
38634678,neovim,enhancement,enhancement|help wanted|terminal,False
38671659,TypeScript,,feature-request,False
38692958,TypeScript,help wanted,feature-request,False
38723525,neovim,enhancement,enhancement|feature-request,False
38942689,TypeScript,bug|help wanted,enhancement|feature-request,False
38984497,TypeScript,help wanted,feature-request,False
39201724,TypeScript,,enhancement|feature-request,False
39364479,neovim,enhancement,feature-request,False
39380555,neovim,enhancement,enhancement|help wanted|terminal,False
39543112,neovim,enhancement,,False
39567277,TypeScript,,feature-request,False
39748764,rust,,feature-request,False
39853501,TypeScript,,feature-request,False
39905560,TypeScript,help wanted,feature-request,False
40203848,TypeScript,,feature-request,False
40331923,rust,,feature-request,False
40515546,rust,,bug,False
41218409,TypeScript,bug|help wanted,enhancement|feature-request,False
41219443,TypeScript,bug|help wanted,feature-request,False
41285423,rust,,feature-request,False
41570501,TypeScript,,enhancement|feature-request,False
41977332,TypeScript,help wanted,enhancement|feature-request,False
42145523,neovim,enhancement|performance,feature-request,False
42491853,rust,,feature-request,False
42613245,TypeScript,,enhancement|feature-request,False
42676280,TypeScript,help wanted,,False
42745490,neovim,enhancement,enhancement|feature-request,False
44634459,TypeScript,bug|help wanted,,False
45396864,rust,,enhancement|feature-request,False
45905242,rust,,feature-request,False
46125256,TypeScript,help wanted,enhancement|feature-request,False
46934027,rust,,bug,False
47773932,TypeScript,help wanted,feature-request,False
47981826,rust,,feature-request,False
47999195,neovim,enhancement,enhancement|feature-request,False
48023075,rust,,feature-request,False
48026235,neovim,enhancement,enhancement|feature-request,False
48142274,rust,,feature-request,False
48153553,rust,,feature-request,False
