error_type,bucket,id,repo,title,true_priority,pred_priority,priority_conf,true_labels,pred_labels,missed_labels,fp_labels,label_max_prob,note
priority_wrong,ambiguous,831066300,vscode,Some emojis not displaying correctly in VSCode macOS,medium,low,0.662,(none),bug|help wanted,,,0.23,Text doesn't clearly indicate urgency.
priority_wrong,ambiguous,218354596,vscode,Several fonts at the same time for different elements of the code,medium,low,0.621,feature-request,enhancement,,,0.548,Text doesn't clearly indicate urgency.
priority_wrong,ambiguous,1772340957,vscode,Support opening links in a new window from within webviews,medium,low,0.81,help wanted|feature-request,enhancement|help wanted,,,0.459,Text doesn't clearly indicate urgency.
priority_wrong,repo_jargon,1058445600,vscode,Bracket Pair Colorization for HTML tags,high,low,0.582,feature-request,documentation|enhancement|feature-request|help wanted,,,0.65,Title uses repo-specific tag not seen at training scale.
priority_wrong,ambiguous,1380325288,tauri,[feat] Allow disable background throttling,medium,low,0.581,(none),enhancement :sparkles:,,,0.99,Text doesn't clearly indicate urgency.
priority_wrong,ambiguous,2096340019,vscode,"Undocumented feature ""Turn on Cloud Changes…"" is visible",medium,low,0.856,(none),help wanted,,,0.277,Text doesn't clearly indicate urgency.
priority_wrong,repo_jargon,220960127,vscode,[folding] Folding HTML tags should hide the closing tag.,medium,low,0.532,feature-request,bug,,,0.186,Title uses repo-specific tag not seen at training scale.
priority_wrong,repo_jargon,809851765,vscode,[FR] Settings to make find-and-replace work like Notepad++,medium,low,0.92,feature-request,enhancement,,,0.439,Title uses repo-specific tag not seen at training scale.
priority_wrong,too_short,226276385,vscode,Stop rendering pseudo-italic fonts when italic is not available,medium,low,0.604,feature-request,enhancement,,,0.404,Almost no body text; model defaulted to majority class.
priority_wrong,ambiguous,1493425869,vscode,Jupyter: move cell up/down buttons,medium,low,0.513,feature-request,enhancement|usability,,,0.389,Text doesn't clearly indicate urgency.
priority_wrong,ambiguous,2637215692,vscode,Support comment toggling for languages that do not support content on the first column,medium,low,0.828,feature-request,enhancement|feature-request|help wanted,,,0.466,Text doesn't clearly indicate urgency.
priority_wrong,repo_jargon,335269335,vscode,[HTML] Auto tag-closing doesn't work with undo/redo and programmatic changes,medium,low,0.667,(none),enhancement,,,0.206,Title uses repo-specific tag not seen at training scale.
priority_wrong,noisy_body,2745825993,vscode,"Remote-SSH connection failure when ""PATH"" contains ""${workspaceRoot}"" in ""terminal.integrated.env.windows""",low,medium,0.557,bug|help wanted,bug|help wanted|terminal,,,0.449,Stack trace / code dominates; priority signal buried.
priority_wrong,ambiguous,2209737125,vscode,Support cell output toolbar contribution,low,medium,0.404,feature-request,enhancement|feature-request,,,0.717,Text doesn't clearly indicate urgency.
priority_wrong,repo_jargon,2495053014,vscode,Editor GPU: Add device pixel support to ElementSizeObserver,low,medium,0.637,(none),enhancement|good first issue|help wanted,,,0.504,Title uses repo-specific tag not seen at training scale.
label_fn,too_short,424545332,vscode,Enabled Text-Highlighting and Copying in Playground,low,low,0.679,feature-request,documentation|help wanted,feature-request,,0.462,Body too sparse; label not predictable from text alone.
label_fn,ambiguous,974049808,vscode,Allow quick pick items to always be visible and sticky,low,low,0.582,feature-request,enhancement,feature-request,,0.586,Issue text doesn't clearly signal the missing label.
label_fn,ambiguous,2366699309,vscode,Git - Recommend running `git gc` when git operations take too long,low,medium,0.516,feature-request,enhancement,feature-request,,0.284,Issue text doesn't clearly signal the missing label.
label_fn,ambiguous,2600013644,svelte,Duplicate text on upcoming svelte omni site.,low,low,0.958,documentation,bug,documentation,,0.84,Issue text doesn't clearly signal the missing label.
label_fn,ambiguous,2106105017,vscode,LaTeX not rendering in cell text/html encoded outputs when embedded inside html,low,low,0.84,feature-request,bug|enhancement|help wanted,feature-request,,0.266,Issue text doesn't clearly signal the missing label.
label_fn,too_short,1658577844,vscode,some keys of the Keyboard does not works in Visual Studio,low,low,0.72,bug,help wanted,bug,,0.197,Body too sparse; label not predictable from text alone.
label_fn,repo_jargon,1634910016,deno,Deno panicked trying to run ZeroMQ from NPM package,low,low,0.853,bug,(none),bug,,0.133,"Label tied to repo-specific workflow, not text content."
label_fn,ambiguous,1154543927,vscode,Can't read deeply nested files in narrow explorer,low,low,0.859,feature-request,bug|enhancement|idea-new powertoy|terminal,feature-request,,0.199,Issue text doesn't clearly signal the missing label.
label_fn,ambiguous,329173607,vscode,"Filter ""Problems"" by the extension which generated them (Markers Panel Filter)",high,low,0.794,feature-request,discussion|enhancement,feature-request,,0.689,Issue text doesn't clearly signal the missing label.
